Address,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max val sent,avg val received,avg val sent,total ether received,total Ether sent,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total Ether sent,FLAG
0x711a7544a0b05d19e,1172.7,3971.58,348123.8,29,28,0,11,22,0.01,2.7499,1.8467,0.8224,30.56,34.64,6.5516,11,1738.49,1426.8,0
0x3f021054d0e0b247b,527.9,720.2,234235.7,136,136,0,43,47,0.05,18.4379,1.5887,1.6477,509.96,218.56,29.5824,47,16960.9,25049.36,0
0xEE099442a9b03101e,0.7,2810.67,2278.5,4,101,0,223,1,0.01,48.8542,0.2285,22.38,101.41,141.38,0.0123,21,1638.18,4487.13,1
0x710f2150a0b0ce428,5131.0,1044.41,466085.5,25,27,0,10,23,0.01,3.0668,1.4514,0.9535,39.2,9.62,8.9245,6,328.31,545.73,0
0x3f001688d0e0d1733,336.58,251.21,399124.8,128,140,0,20,56,0.05,6.3415,4.8748,2.1026,554.12,230.26,15.7206,84,36440.82,64213.28,0
0x720b2442b5d0ae835,5.02,4.97,7083.6,41,78,0,66,1,100.0,100.0,100.0,100.0,6700.0,4600.0,0.318,0,0.0,0.0,1
0x71091262a0b063d9b,2049.73,4925.11,306654.4,33,32,0,29,8,0.01,3.5681,0.5346,0.5424,45.94,28.62,1.1288,4,1949.96,461.69,0
0xEE0c6631a9b0a30e1,1.99,2627.32,2568.5,5,194,0,194,1,0.01,32.6397,0.6361,43.4202,142.64,58.32,0.0146,25,3407.42,3530.16,1
0x710b6895a0b03d3ba,3606.37,2270.33,358041.3,22,37,0,21,21,0.01,4.6595,0.9923,0.3232,47.13,22.56,14.5332,4,1962.63,159.25,0
0x3f078643d0e0bf95d,383.51,228.18,166559.3,186,120,0,55,50,0.05,6.365,5.2669,3.0799,561.98,457.47,28.3121,93,43323.53,52802.3,0
0x72007295b5d0b596f,2.66,6.46,5572.5,48,89,0,63,1,10.0,10.0,10.0,10.0,390.0,530.0,0.057,0,0.0,0.0,1
0x711c8956a0b08dc71,2671.54,1543.44,135481.0,19,30,0,22,16,0.01,1.3692,1.1698,1.3317,30.47,13.34,6.282,18,626.07,1218.99,0
0x72082679b5d0ec4bd,1.84,7.82,2260.3,94,59,0,45,1,10.0,10.0,10.0,10.0,490.0,340.0,0.136,0,0.0,0.0,1
0x71058035a0b056552,1188.58,3472.92,225742.4,26,31,0,13,20,0.01,1.3079,0.8636,0.5418,47.19,35.48,9.8677,7,967.42,366.74,0
0xEE066109a9b0e4714,1.98,1979.84,3457.7,3,151,0,90,1,0.01,24.3468,0.4747,36.5972,124.0,80.73,0.0142,10,4810.59,4631.27,1
0xEE057342a9b0c77fc,0.83,1258.55,3286.3,5,227,0,115,1,0.01,47.7258,0.2009,41.9247,125.02,74.56,0.0116,25,2966.38,1256.84,1
0x71233712a0b0a8f30,6397.45,2412.34,317421.1,34,28,0,17,17,0.01,1.5571,1.6704,1.2301,31.34,38.39,12.0404,7,1529.57,1075.12,0
0x71106188a0b0c32ce,1244.37,4392.93,381463.1,26,36,0,14,17,0.01,4.7966,1.8187,0.6913,10.61,39.74,8.0146,6,1399.53,942.98,0
0x3f092252d0e0ad70b,462.61,363.29,285264.6,98,170,0,36,34,0.05,18.8112,3.8459,1.5728,581.18,473.69,29.1685,120,56114.84,54690.25,0
0x71223560a0b0b9bc7,5329.58,1002.0,412605.8,31,30,0,13,20,0.01,3.3532,1.4928,0.9779,38.55,38.59,9.7374,2,1520.46,778.94,0
0x71077585a0b0478d3,2481.26,3724.48,384908.2,25,33,0,21,13,0.01,1.9682,1.4754,1.4424,19.51,32.76,6.149,3,1303.71,826.87,0
0x720a1340b5d0a11a1,2.67,4.57,12728.7,91,52,0,50,1,100.0,100.0,100.0,100.0,3300.0,4600.0,0.263,0,0.0,0.0,1
0x711b8043a0b094729,6559.53,2866.89,203297.8,26,38,0,25,18,0.01,1.5553,1.4254,0.5728,23.83,38.49,7.6355,19,1243.68,374.58,0
0x71134440a0b0bd556,5505.23,3969.08,141249.5,34,42,0,26,11,0.01,1.0434,1.8486,0.4369,22.77,40.3,14.3085,16,258.24,182.97,0
0x99068117c4f0871e9,0.154,0.105,34.8,11,5,2,2,2,10.0,5384.63,6071.23,6321.76,14779.99,17783.92,29.01,16,202976652.31,212597147.74,1
0x71192460a0b0de2b6,5613.92,4768.02,439859.0,22,38,0,11,15,0.01,1.0887,1.1971,1.0143,43.25,18.46,12.4294,13,1165.78,1321.15,0
0xEE029476a9b0bd96b,2.37,1434.16,2847.3,7,218,0,102,1,0.01,39.4166,0.5421,49.6683,135.66,102.33,0.0062,13,2704.73,2805.55,1
0x710d6986a0b084dd1,6202.43,4635.61,304537.0,26,39,0,21,22,0.01,2.5023,0.5504,1.1674,11.44,23.83,8.597,18,170.96,1242.77,0
0x71182838a0b038061,1496.49,4481.98,320635.1,20,41,1,20,24,0.01,4.3533,1.1499,0.9222,20.94,9.92,13.1061,18,1115.26,1137.37,0
0x71031878a0b09aad4,4520.51,4854.07,342813.7,22,29,0,10,19,0.01,2.174,0.4225,0.5983,38.45,34.87,9.4834,11,781.08,218.01,0
0x71119527a0b071d96,6665.51,4442.24,354561.4,31,37,0,20,12,0.01,3.5038,1.7127,1.2772,18.27,17.31,4.0042,15,134.62,186.94,0
0x71267024a0b055a95,1463.93,1237.84,436175.9,34,31,0,10,15,0.01,3.4316,1.0069,1.4164,18.22,34.78,9.4521,4,856.52,829.22,0
0x71087287a0b07e900,1904.31,2934.43,378325.1,32,31,0,29,14,0.01,1.6975,1.5055,0.8801,47.47,12.68,5.7749,19,1856.92,1322.14,0
0x99036238c4f03c379,0.081,0.013,18.4,5,5,3,1,2,10.0,6696.65,10159.59,11168.1,18210.36,23897.84,42.21,10,165437047.34,119714733.45,1
0x71066450a0b09cd1f,5844.64,4563.58,227201.4,19,35,0,16,13,0.01,3.043,1.0679,0.6332,14.79,19.48,14.2007,10,867.29,144.09,0
0xEE046626a9b0ba3a0,1.3,2503.96,2813.8,5,143,0,94,1,0.01,62.8954,0.5939,36.219,116.05,62.19,0.0049,17,4083.69,4379.13,1
0x71241950a0b058fc0,1201.19,3193.54,404983.5,33,42,0,29,22,0.01,4.1892,0.6399,0.6439,38.89,32.48,9.9761,5,1131.18,415.11,0
0x72048843b5d05c6e8,3.57,3.4,10023.0,42,78,0,84,1,250.0,250.0,250.0,250.0,7750.0,22000.0,0.402,0,0.0,0.0,1
0x3f102913d0e09fd90,228.25,437.75,332306.8,141,72,0,51,59,0.05,9.4888,2.5072,3.509,416.82,395.24,12.7446,144,37381.88,27015.32,0
0x720e3530b5d01e225,5.66,1.85,8217.0,97,54,0,69,1,10.0,10.0,10.0,10.0,890.0,400.0,0.483,0,0.0,0.0,1
0x3f0e9623d0e04e960,559.65,227.06,150650.9,200,157,0,23,36,0.05,24.1283,5.091,2.3136,414.85,572.23,36.526,127,42718.11,49485.15,0
0x3f033538d0e01b62f,328.73,600.85,177395.6,134,76,0,29,31,0.05,19.7181,5.3166,1.7279,544.4,422.89,31.1184,40,67221.05,31559.95,0
0x3f0a9901d0e089b67,262.35,493.65,181938.6,233,178,0,45,56,0.05,19.1115,5.6636,1.9765,405.58,542.81,11.0184,46,30814.43,70010.15,0
0xEE071778a9b040775,2.37,1462.66,1077.5,6,227,0,229,1,0.01,76.4743,0.2507,39.0409,163.55,51.45,0.0167,16,1530.86,3270.16,1
0x3f069232d0e0a0245,180.23,443.15,259290.2,155,156,0,41,45,0.05,10.2737,2.6992,4.3484,262.83,418.56,24.8282,49,74008.84,36638.85,0
0xEE082709a9b06af19,2.5,1560.27,1252.2,3,183,0,130,1,0.01,62.3885,0.2221,57.1296,47.28,115.68,0.0145,17,4789.4,3501.22,1
0xEE012435a9b0508db,0.95,2556.66,2929.8,6,175,0,137,1,0.01,38.0578,0.6957,18.0308,121.5,88.32,0.0128,27,4486.15,4893.96,1
0x720c8629b5d02a725,6.53,3.13,3052.0,50,64,0,26,1,100.0,100.0,100.0,100.0,6400.0,4600.0,0.479,0,0.0,0.0,1
0x99045033c4f0b1a91,0.125,0.07,52.7,4,5,1,1,1,10.0,13505.24,9646.04,10806.64,14870.39,13493.21,35.04,11,230275129.92,225578231.81,1
0x3f018186d0e03ceb1,282.32,628.44,267741.4,192,183,0,49,62,0.05,20.3071,1.9634,2.6378,183.98,471.43,18.1691,122,55079.97,35976.46,0
0x3f126068d0e0a38f0,177.68,729.74,264502.1,194,136,0,59,58,0.05,15.8756,5.3902,4.3558,384.57,521.99,17.3586,98,70710.59,55751.96,0
0x3f085853d0e0b5ee4,367.69,361.95,271156.0,160,178,0,53,33,0.05,20.4182,1.9797,1.5231,477.68,358.02,30.6521,81,42177.71,14011.61,0
0x720d7097b5d08459f,6.76,1.93,13206.2,65,43,0,89,1,50.0,50.0,50.0,50.0,3750.0,2200.0,0.385,0,0.0,0.0,1
0x3f112218d0e071a38,533.49,221.25,212134.4,104,74,0,30,58,0.05,13.1691,3.1771,2.3169,475.54,358.19,12.4314,99,17662.82,68035.68,0
0x99008029c4f0a9e73,0.082,0.125,24.6,7,2,1,1,2,10.0,17085.05,8268.19,10714.44,11499.3,9847.04,17.14,7,74594161.71,96226182.49,1
0x71203551a0b0dba52,5925.17,3817.52,314014.7,26,40,0,21,22,0.01,3.8289,1.6284,0.4309,30.24,39.69,5.489,4,198.46,538.08,0
0x72095895b5d035b40,6.78,6.47,11213.7,43,65,0,47,1,10.0,10.0,10.0,10.0,790.0,730.0,0.186,0,0.0,0.0,1
0x3f131362d0e0c50cc,463.86,608.08,293211.2,245,76,0,24,67,0.05,24.2263,3.5946,4.98,152.32,500.78,16.8588,78,21253.19,62985.82,0
0xEE031038a9b0c93ae,2.49,2448.63,1396.1,4,163,0,91,1,0.01,27.8801,0.8076,58.3456,44.38,142.28,0.0183,14,3554.1,2590.38,1
0x99096047c4f03e6c3,0.091,0.027,49.9,7,5,1,2,1,10.0,19271.05,8414.51,10272.7,23031.51,11815.95,14.54,15,84954688.57,122154503.82,1
0x71253116a0b0a9d33,2089.59,4615.49,333356.7,24,49,0,27,8,0.01,1.0724,1.7954,1.6982,32.61,31.69,13.915,9,1337.6,1168.31,0
0x711d2276a0b0cdd53,2256.1,2355.98,293809.2,28,35,0,28,14,0.01,3.7487,1.7511,1.4244,11.22,37.49,5.9581,16,299.25,1119.24,0
0x71013047a0b0b847b,6842.53,1777.64,136242.6,28,43,0,27,11,0.01,4.7688,1.3013,0.8781,10.64,15.85,4.3744,8,1258.99,1258.13,0
0x3f0c7640d0e0634a3,505.83,391.25,295249.6,95,177,0,21,59,0.05,22.402,1.5957,4.9612,388.02,553.19,33.9635,78,10663.98,12477.13,0
0x71152540a0b0adebc,1509.03,4943.89,249708.3,24,41,0,21,14,0.01,2.6969,1.8502,0.4668,29.71,8.39,7.5612,9,323.3,991.35,0
0x71029226a0b0abf6d,3346.36,1565.39,402144.6,25,37,0,21,9,0.01,2.5806,1.8827,1.3909,23.06,27.4,8.2917,9,1704.61,1133.61,0
0x71176063a0b07726b,1640.54,2209.77,167872.0,28,31,0,13,24,0.01,2.1191,1.0579,1.2042,20.84,12.53,2.0668,7,1904.62,1102.29,0
0x72021987b5d0a2466,5.47,2.8,10216.2,86,54,0,26,1,250.0,250.0,250.0,250.0,16000.0,8750.0,0.351,0,0.0,0.0,1
0x72066291b5d0b7105,7.97,4.12,6336.4,51,73,0,82,1,10.0,10.0,10.0,10.0,650.0,330.0,0.096,0,0.0,0.0,1
0xEE0e6543a9b06d86b,0.83,2945.68,2025.2,5,89,0,187,1,0.01,30.1855,0.5638,30.1651,156.04,100.22,0.0057,20,4794.33,2010.11,1
0x72014040b5d092c56,2.07,2.65,13300.4,62,50,0,46,1,50.0,50.0,50.0,50.0,3850.0,3250.0,0.325,0,0.0,0.0,1
0x99077570c4f0c6a8c,0.166,0.092,54.3,8,5,3,1,2,10.0,18905.52,3542.41,11309.92,13977.59,9669.08,26.86,10,106974580.39,111457992.99,1
0x71145491a0b04e2b8,4322.22,1693.46,478477.8,30,40,0,24,19,0.01,3.7521,1.7391,1.6003,43.54,22.49,4.1161,10,1661.53,1074.05,0
0xEE009780a9b0aee7c,1.15,1547.64,1027.1,5,192,0,86,1,0.01,26.9506,0.4637,15.4083,154.62,57.88,0.0064,16,3165.07,4851.97,1
0xEE0b7078a9b0f3b6e,1.14,2032.72,3144.3,4,103,0,217,1,0.01,57.7259,0.7147,49.5476,110.68,115.96,0.0108,18,2754.46,3901.03,1
0x710e3491a0b034280,5967.21,1940.48,486100.7,25,30,0,17,23,0.01,4.9034,1.2261,0.7844,41.81,17.21,7.1456,6,450.23,167.27,0
0x72074374b5d01ea98,4.75,1.68,7854.8,45,41,0,41,1,100.0,100.0,100.0,100.0,4500.0,4000.0,0.491,0,0.0,0.0,1
0x3f0b2521d0e0a29da,574.92,484.53,361371.9,246,172,0,36,38,0.05,16.9254,2.535,1.7184,184.63,446.37,20.1962,94,38313.98,46780.23,0
