account no,transaction id,time stamp,sent amount,recieved amount,total time duration of transaction,counterparty address,gas fee,transaction type,account balance after transaction,is_abnormal_label
0x3f5A109281bcD901284019280192a01920192004,0xf20f4ef003b431b13b86daae9,2026-03-08 13:41:00,1.3198,0.0,17.0,0xUniswapV3RouterPool,0.0099,DEX_TOKEN_SWAP_BUY,25.6461,0
0x3f5A109281bcD901284019280192a01920192004,0x10f0e4880390726d56c2a1862c,2026-03-08 18:03:00,1.3641,0.0,14.7,0xUniswapV3RouterPool,0.0113,DEX_TOKEN_SWAP_BUY,24.2707,0
0x8a23049182c41031920aa9021894012903102003,0x2940ed904a18e33a99b9eaa5e1,2026-03-08 18:44:00,0.7813,0.0,35.0,0xMerchant4111,0.00204,RETAIL_PAYMENT,13.2136,0
0x3f5A109281bcD901284019280192a01920192004,0x236bedda3e36f27ad4bb609fc1,2026-03-08 19:56:00,0.0,4.12,15.1,0xUniswapV3RouterPool,0.0116,DEX_TOKEN_SWAP_SELL,28.3791,0
0x3f5A109281bcD901284019280192a01920192004,0x223909cbb961bfdedf629ae39,2026-03-09 00:19:00,0.0,1.8653,13.7,0xUniswapV3RouterPool,0.0053,DEX_TOKEN_SWAP_SELL,30.2391,0
0x3f5A109281bcD901284019280192a01920192004,0x37749d4869d9124b2d95ee2793,2026-03-09 03:25:00,0.0,2.0,11.3,0xUniswapV3RouterPool,0.0037,DEX_TOKEN_SWAP_SELL,32.2354,0
0x3f5A109281bcD901284019280192a01920192004,0x1a25466745ab828410f517a81d,2026-03-09 06:29:00,1.4584,0.0,9.8,0xUniswapV3RouterPool,0.0064,DEX_TOKEN_SWAP_BUY,30.7706,0
0x55d14285a910bf2350a45920042c019918231002,0x1577e3439101d299cacf31d919,2026-03-09 08:00:00,0.0,5.6949,29.2,0xExchDeposit538,0.0012,DEPOSIT_FROM_EXCHANGE,12.1236,0
0x3f5A109281bcD901284019280192a01920192004,0x203c620eb8d511adc578d2aeba,2026-03-09 09:03:00,0.0,2.4705,13.0,0xUniswapV3RouterPool,0.0049,DEX_TOKEN_SWAP_SELL,33.2362,0
0x3f5A109281bcD901284019280192a01920192004,0x2a874d47841832436071dae6b4,2026-03-09 09:58:00,3.5603,0.0,12.2,0xUniswapV3RouterPool,0.0098,DEX_TOKEN_SWAP_BUY,29.6661,0
0x3f5A109281bcD901284019280192a01920192004,0x358679a4312ab28a30cc8b3a52,2026-03-09 14:17:00,0.0,1.9553,18.8,0xUniswapV3RouterPool,0.0074,DEX_TOKEN_SWAP_SELL,31.614,0
0x71C934B491a27e3160a2418e950821b01c38a101,0x325d83959aec41b75d7caab511,2026-03-09 16:51:00,0.489,0.0,21.2,0xMerchant4527,0.00228,RETAIL_PAYMENT,10.3376,0
0x3f5A109281bcD901284019280192a01920192004,0x1e92317e86bba307e06686d5ee,2026-03-09 19:10:00,0.0,2.6359,12.9,0xUniswapV3RouterPool,0.0045,DEX_TOKEN_SWAP_SELL,34.2454,0
0x3f5A109281bcD901284019280192a01920192004,0x2d8240b8ad87f76909936939c,2026-03-09 21:00:00,0.0,1.2938,15.1,0xUniswapV3RouterPool,0.009,DEX_TOKEN_SWAP_SELL,35.5302,0
0x8a23049182c41031920aa9021894012903102003,0x19c14cff5939b8e4b1f1ca22b,2026-03-10 20:02:00,0.0,1.2515,31.1,0xPeerTransfer9238,0.00172,PEER_TRANSFER_IN,14.4634,0
0x55d14285a910bf2350a45920042c019918231002,0x360de27c016d8f7752c8c3735,2026-03-11 23:28:00,0.9784,0.0,44.9,0xMerchant7916,0.00167,RETAIL_PAYMENT,11.1435,0
0x71C934B491a27e3160a2418e950821b01c38a101,0x169d1ab080a038771df1a357f,2026-03-12 00:02:00,1.1216,0.0,15.2,0xMerchant9785,0.00224,RETAIL_PAYMENT,9.2138,0
0x71C934B491a27e3160a2418e950821b01c38a101,0x2aa286d0e5cf032c6e41b4132c,2026-03-13 03:31:00,0.1974,0.0,21.7,0xMerchant4733,0.00187,RETAIL_PAYMENT,9.0145,0
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x233baee6438638e703f000b21,2026-03-13 22:02:18,0.0,1.1651,4.5,0xVictimWallet0001_5262,0.0005,PHISHING_VICTIM_DEPOSIT,1.1671,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x177e27188aa6420aa1e5733d72,2026-03-13 22:04:49,0.0,2.1451,6.3,0xVictimWallet0002_5133,0.0005,PHISHING_VICTIM_DEPOSIT,3.3122,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x2f4b249e0dfa737aee220b3938,2026-03-13 22:06:21,0.0,1.9716,9.6,0xVictimWallet0003_1659,0.0005,PHISHING_VICTIM_DEPOSIT,5.2838,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0xf6fdaf8a1a8ddc334d8b8802,2026-03-13 22:07:32,0.0,1.7893,6.9,0xVictimWallet0004_8758,0.0005,PHISHING_VICTIM_DEPOSIT,7.0731,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x16157c38a62f01d4b2d4cdaf1d,2026-03-13 22:09:11,0.0,1.6527,9.7,0xVictimWallet0005_3749,0.0005,PHISHING_VICTIM_DEPOSIT,8.7258,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x19974077230cc2ab852c269c15,2026-03-13 22:10:31,0.0,2.3471,7.0,0xVictimWallet0006_1420,0.0005,PHISHING_VICTIM_DEPOSIT,11.0729,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x33720017e7785a8c5433ffd89,2026-03-13 22:13:06,0.0,0.5691,8.4,0xVictimWallet0007_4978,0.0005,PHISHING_VICTIM_DEPOSIT,11.642,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x8501d8d50a4627c7a695c9888,2026-03-13 22:14:52,0.0,1.7723,3.5,0xVictimWallet0008_8018,0.0005,PHISHING_VICTIM_DEPOSIT,13.4143,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x20916e9f809cd250eae2fe876c,2026-03-13 22:17:02,0.0,1.2821,5.5,0xVictimWallet0009_2729,0.0005,PHISHING_VICTIM_DEPOSIT,14.6964,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x10f507ff655ea27137cc544242,2026-03-13 22:19:21,0.0,1.6742,9.4,0xVictimWallet0010_5425,0.0005,PHISHING_VICTIM_DEPOSIT,16.3706,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x2b9a4cb9ec8a31a4fd552fd1f7,2026-03-13 22:22:00,0.0,2.1361,3.6,0xVictimWallet0011_5022,0.0005,PHISHING_VICTIM_DEPOSIT,18.5067,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x236cfd09976bf2cbeda25bea96,2026-03-13 22:24:25,0.0,1.0733,6.5,0xVictimWallet0012_7209,0.0005,PHISHING_VICTIM_DEPOSIT,19.58,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x134288d4a529d38bed6b500f06,2026-03-13 22:26:46,0.0,1.0817,9.2,0xVictimWallet0013_5232,0.0005,PHISHING_VICTIM_DEPOSIT,20.6617,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x26bf91313836a11e98032e7abf,2026-03-13 22:29:31,0.0,0.8689,5.8,0xVictimWallet0014_2402,0.0005,PHISHING_VICTIM_DEPOSIT,21.5306,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x333e0b5d42463225e18e20b785,2026-03-13 22:31:11,0.0,0.5501,4.6,0xVictimWallet0015_1282,0.0005,PHISHING_VICTIM_DEPOSIT,22.0807,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x2ae76ba7388b223f916ef25fd7,2026-03-13 22:32:40,0.0,1.0891,10.0,0xVictimWallet0016_9698,0.0005,PHISHING_VICTIM_DEPOSIT,23.1698,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x22b95c4688d3b194ee55d50762,2026-03-13 22:35:12,0.0,0.8457,8.0,0xVictimWallet0017_5118,0.0005,PHISHING_VICTIM_DEPOSIT,24.0155,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x27faccea7b40a3676f03e6f62b,2026-03-13 22:37:29,0.0,0.7618,8.2,0xVictimWallet0018_4033,0.0005,PHISHING_VICTIM_DEPOSIT,24.7773,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x365670a7d2aec2be1096c8da13,2026-03-13 22:40:16,0.0,2.4581,8.8,0xVictimWallet0019_5636,0.0005,PHISHING_VICTIM_DEPOSIT,27.2354,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x112b26cdcf3a2696f5ddba8bd,2026-03-13 22:42:40,0.0,0.6222,3.3,0xVictimWallet0020_9751,0.0005,PHISHING_VICTIM_DEPOSIT,27.8576,1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x291961e6faac63251a5b43b78d,2026-03-13 22:43:55,27.8546,0.0,2.1,0xHackerColdWallet9999999999999999999999,0.003,AUTOMATED_SWEEPER_DRAIN,0.003,1
0x8a23049182c41031920aa9021894012903102003,0x2bc432204dd2930e5d21e02210,2026-03-14 03:17:00,1.3065,0.0,28.8,0xMerchant7615,0.00225,RETAIL_PAYMENT,13.1546,0
0x71C934B491a27e3160a2418e950821b01c38a101,0x2e5e3848cf2931d089e60282de,2026-03-15 04:41:00,0.0,0.4928,40.6,0xPeerTransfer6820,0.00145,PEER_TRANSFER_IN,9.5059,0
0x8a23049182c41031920aa9021894012903102003,0x2fc197bcc92e329dbda5e5cc0c,2026-03-15 06:58:00,0.8319,0.0,31.6,0xMerchant5272,0.00185,RETAIL_PAYMENT,12.3209,0
0x55d14285a910bf2350a45920042c019918231002,0x66b501bd662f33cf7bea14da7,2026-03-15 15:37:00,0.2604,0.0,31.7,0xMerchant9797,0.0016,RETAIL_PAYMENT,10.8815,0
0x991C0A4f29103192081029301928019280192005,0xdc43022a1b652519bd1313ce2,2026-03-16 11:12:00,0.0,5000.0,1.2,0xAaveLendingPoolV3,0.05,FLASH_LOAN_BORROW,5000.45,1
0x991C0A4f29103192081029301928019280192005,0x2a6ca139e134223b9c5944b651,2026-03-16 11:12:45,5000.0,0.0,1.5,0xVictimVulnerableLendingContract,0.12,REENTRANCY_EXPLOIT_CALL,0.33,1
0x991C0A4f29103192081029301928019280192005,0x21dfd8b0743aa117bc67b2c11d,2026-03-16 11:13:15,0.0,8450.0,1.8,0xVictimVulnerableLendingContract,0.08,EXPLOIT_PAYOUT_SIPHON,8450.25,1
0x991C0A4f29103192081029301928019280192005,0x8f9007a51a9b24424ed14204c,2026-03-16 11:13:40,5004.5,0.0,1.1,0xAaveLendingPoolV3,0.02,FLASH_LOAN_REPAY,3445.73,1
0x991C0A4f29103192081029301928019280192005,0x1f546213498e3a6cf8e5d5a51,2026-03-16 11:14:20,3445.0,0.0,2.4,0x722122dF12D450404793b52d7e7742507309569B,0.05,TORNADO_CASH_MIXER_DEPOSIT,0.68,1
0x71C934B491a27e3160a2418e950821b01c38a101,0x2e52aac6a427327de83c49fe01,2026-03-16 19:28:00,1.1208,0.0,42.9,0xMerchant3677,0.0019,RETAIL_PAYMENT,8.3832,0
0x8a23049182c41031920aa9021894012903102003,0x2eff1bc6e23fc22f255d46dbc2,2026-03-16 21:45:00,0.0,0.7691,19.9,0xPeerTransfer2188,0.00147,PEER_TRANSFER_IN,13.0885,0
0x8a23049182c41031920aa9021894012903102003,0x135389a1ca88b16a8391fbe8cc,2026-03-17 11:19:00,0.2854,0.0,30.6,0xMerchant6718,0.00097,RETAIL_PAYMENT,12.8021,0
0x55d14285a910bf2350a45920042c019918231002,0x168a8c8b73e0b25b8d0947e88b,2026-03-17 14:23:00,1.1667,0.0,21.7,0xMerchant9317,0.00107,RETAIL_PAYMENT,9.7138,0
0x8a23049182c41031920aa9021894012903102003,0x190bac495714327895b7e53de6,2026-03-18 07:39:00,0.111,0.0,17.2,0xMerchant5905,0.00222,RETAIL_PAYMENT,12.6889,0
0x55d14285a910bf2350a45920042c019918231002,0x1d9d6379ab97d10060d3ae2861,2026-03-18 16:08:00,0.8551,0.0,33.1,0xMerchant9689,0.00184,RETAIL_PAYMENT,8.8568,0
0x55d14285a910bf2350a45920042c019918231002,0x150255f337eff1519a1f4e6f1a,2026-03-19 04:51:00,1.3292,0.0,12.6,0xMerchant2290,0.00238,RETAIL_PAYMENT,7.5252,0
0x71C934B491a27e3160a2418e950821b01c38a101,0x317fe48b2f32637592d52a72cc,2026-03-19 18:57:00,0.1783,0.0,42.5,0xMerchant1525,0.00197,RETAIL_PAYMENT,8.2029,0
0x55d14285a910bf2350a45920042c019918231002,0xde6c30ac1750241a3b95fae0c,2026-03-20 03:27:00,0.0,1.9043,44.3,0xPeerTransfer3705,0.00171,PEER_TRANSFER_IN,9.4278,0
0x71C934B491a27e3160a2418e950821b01c38a101,0x33a17f0d3e0ee134ad6108fad7,2026-03-21 23:27:00,1.0176,0.0,19.0,0xMerchant7482,0.0024,RETAIL_PAYMENT,7.1829,0
0x55d14285a910bf2350a45920042c019918231002,0x360579a898efb31d5fcb57032a,2026-03-22 01:05:00,0.0,0.5621,26.0,0xPeerTransfer6107,0.00116,PEER_TRANSFER_IN,9.9888,0
0x8a23049182c41031920aa9021894012903102003,0x3532f2be0f5a9fa209e1a5097,2026-03-22 07:50:00,0.0,0.6902,16.4,0xPeerTransfer4450,0.001,PEER_TRANSFER_IN,13.3781,0
0x8a23049182c41031920aa9021894012903102003,0xb9761d7b680f20cb0b2dab723,2026-03-24 15:08:00,0.0,1.6928,40.1,0xPeerTransfer1722,0.00166,PEER_TRANSFER_IN,15.0692,0
0x55d14285a910bf2350a45920042c019918231002,0x158cd2f7461979c834a0003cf,2026-03-24 16:52:00,0.5733,0.0,26.5,0xMerchant4770,0.00168,RETAIL_PAYMENT,9.4138,0
0x8a23049182c41031920aa9021894012903102003,0x21f63ce3b8f1f32d8d9db52d99,2026-03-25 03:34:00,0.0,0.9698,33.0,0xPeerTransfer1158,0.00125,PEER_TRANSFER_IN,16.0378,0
0x8a23049182c41031920aa9021894012903102003,0x2af706eff3058f2989dec88e2,2026-03-26 05:43:00,0.0,0.9736,34.8,0xPeerTransfer1685,0.00105,PEER_TRANSFER_IN,17.0103,0
0x55d14285a910bf2350a45920042c019918231002,0xa3816511363c14eaa9419fc50,2026-03-28 08:11:00,0.4899,0.0,35.4,0xMerchant8953,0.0009,RETAIL_PAYMENT,8.923,0
0x8a23049182c41031920aa9021894012903102003,0x1c958f69a2cc0315624641d36c,2026-03-28 09:11:00,0.0,0.6492,38.3,0xPeerTransfer2684,0.00226,PEER_TRANSFER_IN,17.6573,0
0x55d14285a910bf2350a45920042c019918231002,0x153c7897b37f923f46d957119f,2026-03-29 23:50:00,1.2305,0.0,42.9,0xMerchant4119,0.00177,RETAIL_PAYMENT,7.6907,0
0x8a23049182c41031920aa9021894012903102003,0x14d5efe86eeb510159edd10c94,2026-03-30 18:51:00,0.0,1.9572,25.4,0xPeerTransfer3900,0.00186,PEER_TRANSFER_IN,19.6126,0
0x55d14285a910bf2350a45920042c019918231002,0x34585ed9ea7ac30c791e5869a6,2026-03-31 00:01:00,0.0,1.3762,23.7,0xPeerTransfer2612,0.0015,PEER_TRANSFER_IN,9.0654,0
0x55d14285a910bf2350a45920042c019918231002,0x11db941864c002265499c445e4,2026-03-31 19:31:00,0.0,0.4523,38.4,0xPeerTransfer4006,0.00099,PEER_TRANSFER_IN,9.5167,0
